,env_id,episodes,is_success,collision,timeout,out_of_bounds,step,success_rate,out_of_bounds_rate,timeout_rate,collision_rate,cumulated_rewards,sim_time,cpu_time_steps,cpu_time_full,inference_time,action_cpu_time_ur5_1,position_ee_link_ur5_1,velocity_ee_link_ur5_1,rotation_ee_link_ur5_1,position_rotation_sensor_cpu_time_ur5_1,joints_angles_ur5_1,joints_velocities_ur5_1,joints_sensor_cpu_time_ur5_1,reward_ur5_1,distance_ur5_1,distance_threshold_ur5_1
10,0,0,False,False,False,False,11,0.0,0.0,0.0,0.0,0.0,0.04583333325999999,6.60834300099998,258.821540145,5.948983029999965,0.00011391399999638452,[ 0.04122663 -0.16166285  0.57099032],[0. 0. 0.],[ 0.57260442  0.76897597 -0.27703592  0.06364954],9.846687316894531e-05,[-2.93509514 -0.85191138 -1.43680732 -2.8145295   1.11245929],[  1.64972105  -0.77073612   1.90294486 -10.          -9.99996497],4.186899997193905e-05,-0.11053151699936949,0.7516878209290482,0.05
11,0,0,False,False,False,False,12,0.0,0.0,0.0,0.0,0.0,0.04999999991999999,6.858417752999969,259.07161489699996,5.962317976999998,0.00012197800003832526,[ 0.04021515 -0.1667214   0.57423896],[0. 0. 0.],[ 0.55576938  0.77160984 -0.30136737  0.07011666],8.630752563476562e-05,[-2.9211469  -0.85644134 -1.42715607 -2.85619616  1.07079273],[  3.34757677  -1.08719082   2.31629773 -10.          -9.99997447],3.809100002172272e-05,-0.11135105227481167,0.7581390940936262,0.05
12,0,0,False,False,False,False,13,0.0,0.0,0.0,0.0,0.0,0.05416666657999999,7.207212154999979,259.42040929899997,6.041394104000005,7.487100003800151e-05,[ 0.04113942 -0.1713049   0.57764846],[0. 0. 0.],[ 0.53494811  0.77588785 -0.32525086  0.07772022],1.8358230590820312e-05,[-2.89989196 -0.86161655 -1.41793861 -2.89786283  1.02912618],[  5.10118583  -1.24205097   2.21219223 -10.          -9.99997279],4.852099999652637e-05,-0.11183515463891634,0.7634516143167043,0.05
13,0,0,False,False,False,False,14,0.0,0.0,0.0,0.0,0.0,0.058333333239999986,7.466121490999967,259.67931863499996,6.046252150999976,8.174300000973744e-05,[ 0.04413971 -0.17532954  0.58087349],[0. 0. 0.],[ 0.50986093  0.78159654 -0.3488043   0.08651211],7.557868957519531e-05,[-2.87111231 -0.86699771 -1.41035536 -2.9395295   0.98745965],[  6.90711589  -1.2914786    1.81997859 -10.          -9.999967  ],4.2919999998503044e-05,-0.11206294350127974,0.7673109810592347,0.05
14,0,0,False,False,False,False,15,0.0,0.0,0.0,0.0,0.0,0.062499999899999985,7.757561113000008,259.970758257,6.058939804999966,0.00010566800000333387,[ 0.04931015 -0.1786536   0.58372313],[0. 0. 0.],[ 0.48025972  0.78843927 -0.3719784   0.09667637],0.00022649765014648438,[-2.83459322 -0.87226038 -1.40509701 -2.98119616  0.94579316],[  8.76458343  -1.26304      1.26200439 -10.          -9.99995647],3.697899995813714e-05,-0.11210890426426126,0.7694902542163936,0.05
15,0,0,False,False,False,False,16,0.0,0.0,0.0,0.0,0.0,0.06666666655999999,9.812920794999968,262.02611793899996,7.839072056999953,0.00014899999996487168,[ 0.04844293 -0.18353745  0.58605176],[0. 0. 0.],[ 0.46126527  0.78766799 -0.39545518  0.10212171],8.797645568847656e-05,[-2.82719295 -0.87388649 -1.40258128 -3.02286283  0.9041265 ],[  1.77606419  -0.39026648   0.6037749  -10.          -9.99999834],7.443000004059286e-05,-0.11201679574562584,0.7697972631309917,0.05
16,0,0,False,False,False,False,17,0.0,0.0,0.0,0.0,0.0,0.07083333321999999,10.06545824799997,262.27865539199996,7.851497126999959,5.214899999828049e-05,[ 0.04953042 -0.18777141  0.58919924],[0. 0. 0.],[ 0.43861195  0.78822213 -0.41756549  0.10938255],7.2479248046875e-05,[-2.81251553 -0.87687372 -1.39794413 -3.0645295   0.86245987],[  3.52258135  -0.7169353    1.11291549 -10.          -9.99999236],0.0001447519999828728,-0.11259318896758588,0.7746871528396058,0.05
17,0,0,False,False,False,False,18,0.0,0.0,0.0,0.0,0.0,0.07499999987999999,10.350056011999982,262.563253156,7.867871643000001,0.00011092800002643344,[ 0.05275492 -0.19126455  0.59246439],[0. 0. 0.],[ 0.41187596  0.78986311 -0.43874639  0.11821997],7.367134094238281e-05,[-2.79031825 -0.8804624  -1.39363744 -3.10619616  0.82079324],[  5.32734555  -0.86128275   1.03360669 -10.          -9.99999046],3.658800000039264e-05,-0.11292867827039066,0.778212276733132,0.05
18,0,0,False,False,False,False,19,0.0,0.0,0.0,0.0,0.0,0.07916666653999999,10.682471084999975,262.89566822899997,7.936158396999986,0.0002202229999852534,[ 0.05822681 -0.19387415  0.595465  ],[0. 0. 0.],[ 0.38076404  0.79226989 -0.45910811  0.12863433],1.3828277587890625e-05,[-2.76039309 -0.88417649 -1.39100678 -3.14786283  0.77912663],[  7.1820381   -0.89138202   0.63135868 -10.          -9.99998698],3.4623999965788244e-05,-0.11304117868269692,0.780006998644891,0.05
19,0,0,False,False,False,False,20,0.0,0.0,0.0,0.0,0.0,0.08333333319999998,10.950261807999993,263.163458952,7.940399576000004,7.481000000097993e-05,[ 0.0708582  -0.19323431  0.59864146],[0. 0. 0.],[ 0.3557843   0.79619777 -0.46474776  0.15328465],6.818771362304688e-05,[-2.72289722 -0.8874981  -1.39081102 -3.1466088   0.73746002],[ 8.99901052 -0.79718643  0.04698285  0.30096849 -9.99998642],3.573699996195501e-05,-0.11298180217265352,0.7798096759577869,0.05
