,env_id,episodes,is_success,collision,timeout,out_of_bounds,step,success_rate,out_of_bounds_rate,timeout_rate,collision_rate,cumulated_rewards,sim_time,cpu_time_steps,cpu_time_full,action_cpu_time_ur5_1,position_ee_link_ur5_1,velocity_ee_link_ur5_1,rotation_ee_link_ur5_1,position_rotation_sensor_cpu_time_ur5_1,joints_angles_ur5_1,joints_velocities_ur5_1,joints_sensor_cpu_time_ur5_1,shaking_ur5_1,reward_ur5_1,distance_ur5_1,distance_threshold_ur5_1,ur5_1_closestObstDistance_robot,ur5_1_closestObstDistance_ee,obstacles
0,0,1,False,False,False,False,1,0.0,0.0,0.0,0.0,0.0,0.00416666666,0.0,1.359375,0.0,[0.14759628 0.39710522 0.3008233 ],[-0.12989402  0.71525574  1.31691456],[0.01843999 0.9996714  0.01451191 0.01031514],0.0,[-2.05054471  1.25088398 -1.95653727 -0.92812677 -1.57519893 -0.44454225],[ 1.18378344 -0.25047228 -1.44593722 -6.20823925 -1.33891241 10.        ],0.0,0,-0.002982318594624122,0.2982318594624122,0.01,0.07572762107397178,0.13764950173438661,
1,0,1,False,False,False,False,2,0.0,0.0,0.0,0.0,0.0,0.00833333332,0.015625,1375,0.0,[0.14798361 0.39956069 0.31063363],[0.09295821 0.58931351 2.35447884],[0.00759141 0.99886489 0.0291021  0.03693783],0.0,[-2.04057395  1.24895702 -1.96899512 -0.9637219  -1.60972231 -0.45781883],[ 2.39298185 -0.46247024 -2.98988545 -8.5428313  -8.28561137 -3.18637776],0.0,0,-0.002976115022788725,0.2976115022788725,0.01,0.07425624152318558,0.13579062152051952,
2,0,1,False,False,False,False,3,0.0,0.0,0.0,0.0,0.0,0.01249999998,0.03125,1.390625,0.0,[0.1375149  0.39537549 0.31619486],[-2.51248956 -1.00444794  1.33469582],[0.0219787  0.99886793 0.02820238 0.03137695],0.0,[-2.02811933  1.25061465 -1.99259829 -0.93435495 -1.60262951 -0.41615219],[ 2.98910964  0.39783221 -5.66475898  7.04806924  1.70227209  9.99999313],0.0,0,-0.0029817360593299143,0.2981736059329914,0.01,0.07550363227488747,0.1261409811141731,
3,0,1,False,False,False,False,4,0.0,0.0,0.0,0.0,0.0,0.01666666664,0.046875,1.40625,0.0,[0.12347137 0.39056075 0.32043585],[-3.37044776 -1.15553856  1.01783753],[0.02683997 0.99908775 0.02556643 0.02120579],0.0,[-2.01150701  1.25442024 -2.01739555 -0.89960276 -1.58778269 -0.38914362],[ 3.98695705  0.91334174 -5.95134318  8.3405243   3.56323718  6.48205762],0.0,0,-0.0028800777724528825,0.28800777724528825,0.01,0.0764907529051504,0.11311174331191903,
4,0,1,False,False,False,False,5,0.0,0.0,0.0,0.0,0.0,0.0208333333,0.0625,1.421875,0.0,[0.11577098 0.38801697 0.32808942],[-1.84809387 -0.61050654  1.83685541],[0.01518837 0.99831271 0.03175035 0.04618378],0.0,[-1.98937871  1.26046903 -2.04050588 -0.91353476 -1.62944936 -0.39251091],"[  5.31079167   1.45170864  -5.54647803  -3.34368015 -10.
  -0.80815098]",0.0,0,-0.0027439627322914774,0.2743962732291477,0.01,0.07437530047105974,0.10432096405041584,
5,0,1,False,False,False,False,6,0.0,0.0,0.0,0.0,0.0,0.024999999959999998,0.078125,1.4375,0.0,[0.1006622  0.3895027  0.34056982],[-3.62610698  0.35657644  2.99529791],[0.02275406 0.99657243 0.05847652 0.05390877],0.0,[-1.9614575   1.26372812 -2.06853635 -0.94221217 -1.62773673 -0.35084425],[ 6.70109112  0.78218223 -6.72731308 -6.88257625  0.41102999 10.        ],0.0,0,-0.0026751976098248753,0.26751976098248753,0.01,0.06808833682207364,0.09012196241732975,
6,0,1,False,False,False,False,7,0.0,0.0,0.0,0.0,0.0,0.029166666619999997,0.09375,1.453125,0.0,[0.07881568 0.38594693 0.34867808],[-5.2431661  -0.85338593  1.94598198],[0.02633574 0.99636465 0.06708176 0.04542994],0.0,[-1.92798709  1.26668061 -2.09898034 -0.92318671 -1.61150917 -0.3091776 ],[ 8.03289836  0.70859678 -7.30655849  4.56610969  3.89461435  9.99999433],0.0,0,-0.0025414099073271224,0.25414099073271224,0.01,0.059003215940615666,0.06980770474822005,
7,0,1,False,False,False,False,8,0.0,0.0,0.0,0.0,0.0,0.033333333279999995,0.109375,1.46875,0.0,[0.06178599 0.38589895 0.35770836],[-4.08712418 -0.01151562  2.1672678 ],[0.02205332 0.99430978 0.08064635 0.06601399],0.0,[-1.88632081  1.2681355  -2.11771274 -0.94267556 -1.64857784 -0.28034847],[ 9.99990651  0.34917504 -4.49577656 -4.67732316 -8.89647921  6.91899091],0.0,0,-0.002343579701842668,0.23435797018426677,0.01,0.054039752495940514,0.0554596782320654,
8,0,1,False,False,False,False,9,0.0,0.0,0.0,0.0,0.0,0.037499999939999994,125,1.484375,0.0,[0.03554819 0.38259411 0.36486328],[-6.29707308 -0.79316139  1.71717882],[0.00791959 0.99409831 0.09419268 0.05323159],0.0,[-1.84465414  1.27306118 -2.14503162 -0.93727404 -1.62206759 -0.26501142],[10.          1.18216211 -6.55653183  1.29636474  6.36245807  3.68089268],0.0,0,-0.002199599998674983,0.2199599998674983,0.01,0.03817739401043455,0.03817739401043455,
9,0,1,False,False,False,False,10,0.0,0.0,0.0,0.0,0.0,0.04166666659999999,125,1.484375,0.0,[0.00906997 0.37560314 0.36426428],[-6.35477119 -1.67783261 -0.14375925],[-0.032541    0.99524361  0.08432241  0.03634407],0.0,[-1.80298748  1.27819329 -2.16348206 -0.89560752 -1.59512026 -0.30146072],[10.          1.23170808 -4.4281051   9.99996336  6.46736122 -8.74783284],0.0,2,-0.011973280002559454,0.1973280002559453,0.01,0.027149655379177712,0.027149655379177712,
10,0,1,False,False,False,False,11,0.0,0.0,0.0,0.0,0.0,0.04583333325999999,0.15625,1.515625,0.0,[-0.01514651  0.37469313  0.36580348],[-5.81195512 -0.21840334  0.36940813],[-0.03371487  0.99523169  0.08920008  0.02050849],0.0,[-1.76132081  1.27820397 -2.16908887 -0.89124751 -1.56946314 -0.25984433],"[ 1.00000000e+01  2.56151003e-03 -1.34563416e+00  1.04640232e+00
  6.15770758e+00  9.98793543e+00]",0.0,1,-0.006732869332593873,0.17328693325938732,0.01,0.03060134235637163,0.03060134235637163,
11,0,1,False,False,False,False,12,0.0,0.0,0.0,0.0,0.0,0.04999999991999999,0.15625,1.515625,0.0,[-0.03559372  0.37806869  0.36789864],[-4.90733118  0.81013441  0.50283909],[-0.06815946  0.99251384  0.09934407  0.02003457],0.0,[-1.71965414  1.27449802 -2.16291039 -0.91337004 -1.56545839 -0.28717628],[10.         -0.88942632  1.48283464 -5.3094063   0.96114074 -6.55966898],0.0,0,-0.0015217095973727398,0.152170959737274,0.01,0.0423813467559512,0.0423813467559512,
12,0,1,False,False,False,False,13,0.0,0.0,0.0,0.0,0.0,0.05416666657999999,0.171875,1.53125,0.0,[-0.05098693  0.37500879  0.36020133],[-3.6943701  -0.73437452 -1.84735537],[-0.06662872  0.99449462  0.07412558  0.03235092],0.0,[-1.67798748  1.27147344 -2.14886861 -0.87896901 -1.60712484 -0.2455097 ],[10.         -0.72589969  3.3700293   8.25624763 -9.99994864  9.99997892],0.0,0,-0.0013483325098976385,0.13483325098976384,0.01,0.04995713942428335,0.04995713942428335,
13,0,1,False,False,False,False,14,0.0,0.0,0.0,0.0,0.0,0.058333333239999986,0.1875,1.546875,0.0,[-0.06464475  0.37468332  0.35020962],[-3.27787847 -0.07811308 -2.3980093 ],[-0.08630911  0.99401313  0.05397357  0.03969194],0.0,[-1.64396134  1.27184625 -2.12695117 -0.86326209 -1.63036132 -0.25155593],[ 8.16627255  0.08947332  5.26018355  3.76965922 -5.57675419 -1.45109475],0.0,0,-0.001185426047036171,0.1185426047036171,0.01,0.058973731286135034,0.058973731286135034,
14,0,1,False,False,False,False,15,0.0,0.0,0.0,0.0,0.0,0.062499999899999985,0.203125,1.5625,0.0,[-0.08170981  0.38130325  0.34230477],[-4.09561337  1.58878327 -1.89716578],[-0.11365759  0.99104691  0.04868438  0.05037606],0.0,[-1.60229467  1.26580687 -2.09151256 -0.88456416 -1.65473583 -0.2661205 ],[10.         -1.44945011  8.50526852 -5.11249682 -5.84988312 -3.4954957 ],0.0,0,-0.0010221281030529726,0.10221281030529725,0.01,0.05638437433727517,0.07456751401981532,
15,0,1,False,False,False,False,16,0.0,0.0,0.0,0.0,0.0,0.06666666655999999,0.21875,1.578125,0.0,[-0.10066157  0.38933387  0.3341403 ],[-4.54842211  1.92734957 -1.95947171],[-0.11344866  0.99095291  0.04555496  0.05537562],0.0,[-1.56062801  1.25520449 -2.04984589 -0.90691321 -1.66988114 -0.22445383],[10.         -2.54457101 10.         -5.36377029 -3.63487358 10.        ],0.0,0,-0.0008247915965327913,0.08247915965327914,0.01,0.044086988713297984,0.09318953463332869,
16,0,1,False,False,False,False,17,0.0,0.0,0.0,0.0,0.0,0.07083333321999999,0.234375,1.59375,0.0,[-0.12265166  0.39345607  0.32671735],[-5.27762175  0.98932743 -1.78150893],[-0.12437538  0.99041712  0.04514667  0.03957869],0.0,[-1.52538406  1.24984383 -2.01963999 -0.92572356 -1.64091781 -0.20941015],[ 8.45854819 -1.28656021  7.24941676 -4.5144862   6.95119818  3.61048385],0.0,0,-0.0006093937329658719,0.06093937329658719,0.01,0.0354754965964032,0.11468353092402137,
17,0,1,False,False,False,False,18,0.0,0.0,0.0,0.0,0.0,0.07499999987999999,0.25,1.609375,0.0,[-0.13544542  0.39058679  0.31776196],[-3.07050169 -0.68862677 -2.14929343],[-0.12136146  0.99072939  0.02746334  0.05452023],0.0,[-1.49172122  1.24842667 -1.99868773 -0.90865685 -1.67585795 -0.1693824 ],[ 8.07908153 -0.3401174   5.02854098  4.09601212 -8.38563373  9.60665866],0.0,0,-0.0003878880486043449,0.03878880486043449,0.01,0.030555060691174613,0.12800561800198035,
18,0,1,False,False,False,False,19,0.0,0.0,0.0,0.0,0.0,0.07916666653999999,0.265625,1625,0.0,[-0.15373373  0.3936744   0.31645185],[-4.38919545  0.7410264  -0.31442642],[-0.14598344  0.98757416  0.0423125   0.03994771],0.0,[-1.46494333  1.24742628 -1.98417662 -0.95032351 -1.64555804 -0.19253344],"[  6.42669311  -0.24009284   3.48266774 -10.           7.27197789
  -5.55625014]",0.0,0,-0.0002481796755667554,0.02481796755667554,0.01,0.030441695266549218,0.14577327851322652,
19,0,1,False,False,False,False,20,0.0,0.0,0.0,0.0,0.0,0.08333333319999998,0.28125,1.640625,0.0,[-0.15967144  0.38970232  0.31355196],[-1.4250505  -0.9533     -0.69597244],[-0.16845074  0.98343766  0.02914088  0.06021252],0.0,[-1.44262457  1.24513263 -1.97801389 -0.92974599 -1.68722471 -0.21633249],"[  5.35650189  -0.55047672   1.47905391   4.9386052  -10.
  -5.71177185]",0.0,0,-0.000180171363420484,0.0180171363420484,0.01,0.033441922482470035,0.15234381991616,
