,env_id,episodes,is_success,collision,timeout,out_of_bounds,step,success_rate,out_of_bounds_rate,timeout_rate,collision_rate,cumulated_rewards,sim_time,cpu_time_steps,cpu_time_full,action_cpu_time_ur5_1,position_ee_link_ur5_1,velocity_ee_link_ur5_1,rotation_ee_link_ur5_1,position_rotation_sensor_cpu_time_ur5_1,joints_angles_ur5_1,joints_velocities_ur5_1,joints_sensor_cpu_time_ur5_1,shaking_ur5_1,reward_ur5_1,distance_ur5_1,distance_threshold_ur5_1
0,0,1,False,False,False,False,1,0.0,0.0,0.0,0.0,0.0,0.00416666666,0.09375,4.75,0.0,[0.14964543 0.51980054 0.34284654],[0.62146425 1.39666558 0.42661429],[ 0.01938906  0.99570137 -0.04733154  0.07721717],0.0,[-1.93078821  0.92545979 -1.58793359 -0.89843382 -1.74697726 -0.31905453],[-0.49591435 -0.77060503  1.88580188 -8.3315599   1.81948344 -7.335737  ],0.0,0,-0.0025452623780322136,0.25452623780322137,0.01
1,0,1,False,False,False,False,2,0.0,0.0,0.0,0.0,0.0,0.00833333332,0.203125,4.859375,0.0,[0.15218042 0.51606137 0.34318519],[ 0.60839653 -0.89740276  0.08127451],[ 0.0254205   0.9951303  -0.05827599  0.07532235],0.0,[-1.93576131  0.92245899 -1.58964558 -0.87134082 -1.75063872 -0.30978241],[-1.19354348 -0.72019182 -0.4108764   6.50231898 -0.87874862  2.22530826],0.0,0,-0.0025668972021039137,0.2566897202103914,0.01
2,0,1,False,False,False,False,3,0.0,0.0,0.0,0.0,0.0,0.01249999998,0.3125,4.96875,0.0,[0.15552515 0.52252108 0.34451479],[0.80273509 1.55033112 0.3191042 ],[ 0.02582657  0.99689937 -0.03607203  0.06498857],0.0,[-1.94368471  0.92087867 -1.58299816 -0.91300749 -1.71645995 -0.32075582],"[ -1.90161582  -0.37927623   1.59538148 -10.           8.20290444
  -2.63361843]",0.0,0,-0.0025930200443722235,0.25930200443722234,0.01
3,0,1,False,False,False,False,4,0.0,0.0,0.0,0.0,0.0,0.01666666664,0.4375,5.09375,0.0,[0.16411068 0.52975202 0.34508801],[2.06052661 1.735425   0.13757229],[ 0.00996912  0.99628186 -0.0289194   0.08054078],0.0,[-1.94700718  0.91284574 -1.56084041 -0.95467416 -1.74089802 -0.35790889],"[ -0.7973934   -1.9279045    5.31785819 -10.          -5.86513753
  -8.91673744]",0.0,0,-0.0026232004735827564,0.26232004735827563,0.01
4,0,1,False,False,False,False,5,0.0,0.0,0.0,0.0,0.0,0.0208333333,0.546875,5.203125,0.0,[0.16643231 0.53591859 0.34596759],[0.55719137 1.47997856 0.21110058],[ 0.03571621  0.99708879 -0.00496162  0.06718444],0.0,[-1.95481867  0.91167723 -1.5540037  -0.99337468 -1.69923135 -0.31624222],[-1.87475613 -0.28044201  1.64081075 -9.28812588  9.99999992 10.        ],0.0,0,-0.0027080439197663887,0.27080439197663886,0.01
5,0,1,False,False,False,False,6,0.0,0.0,0.0,0.0,0.0,0.024999999959999998,0.671875,5.328125,0.0,[0.16485478 0.53941351 0.3404704 ],[-0.37860632  0.8387804  -1.31932497],[ 0.05752486  0.99736172 -0.00990421  0.04315694],0.0,[-1.95869603  0.90355674 -1.53259829 -0.97917823 -1.65756469 -0.27457556],[-0.93056794 -1.94891716  5.13729923  3.40714898 10.         10.        ],0.0,0,-0.002731818201154406,0.2731818201154406,0.01
6,0,1,False,False,False,False,7,0.0,0.0,0.0,0.0,0.0,0.029166666619999997,0.78125,5.4375,0.0,[0.17190547 0.54124993 0.33658996],[ 1.69216633  0.44074059 -0.93130589],[ 0.05665256  0.99701071 -0.02332788  0.04707419],0.0,[-1.96419396  0.89298331 -1.50764639 -0.97129914 -1.67382731 -0.28067166],[-1.3195023  -2.53762473  5.98845528  1.89098209 -3.90302901 -1.46306417],0.0,0,-0.002722740628078983,0.2722740628078983,0.01
7,0,1,False,False,False,False,8,0.0,0.0,0.0,0.0,0.0,0.033333333279999995,0.90625,5.5625,0.0,[0.17293172 0.55146658 0.33927181],[0.24629831 2.45199681 0.64364433],[ 7.99109563e-02  9.96255159e-01 -1.44355417e-05  3.30136381e-02],0.0,[-1.96771201  0.88294304 -1.48950166 -1.01296579 -1.63216064 -0.23900499],[-0.84433255 -2.40966384  4.35473482 -9.99999707  9.99999986 10.        ],0.0,0,-0.0027979237001293524,0.2797923700129352,0.01
8,0,1,False,False,False,False,9,0.0,0.0,0.0,0.0,0.0,0.037499999939999994,1.015625,5.671875,0.0,[0.17038222 0.55280972 0.33981764],[-0.61187983  0.32235146  0.13099909],[5.99991716e-02 9.98072565e-01 6.59576675e-04 1.58389416e-02],0.0,[-1.96982223  0.87857099 -1.48652565 -1.00266714 -1.59890489 -0.28067166],"[ -0.50645238  -1.04929083   0.71424198   2.47167703   7.98137962
 -10.        ]",0.0,0,-0.0028123176227741863,0.28123176227741864,0.01
9,0,1,False,False,False,False,10,0.0,0.0,0.0,0.0,0.0,0.04166666659999999,1.140625,5.796875,0.0,[0.17449835 0.55258667 0.34343454],[ 0.98787189 -0.05352974  0.86805582],[0.04137814 0.99893749 0.00151489 0.02023507],0.0,[-1.97406851  0.87404497 -1.48774727 -1.00226558 -1.60628779 -0.32233832],"[ -1.01910699  -1.08624682  -0.29318783   0.09637372  -1.77189623
 -10.        ]",0.0,3,-0.017787721295222873,0.2787721295222872,0.01
10,0,1,False,False,False,False,11,0.0,0.0,0.0,0.0,0.0,0.04583333325999999,1.265625,5.921875,0.0,[0.17408288 0.5487566  0.3418662 ],[-0.0997138  -0.91921806 -0.37640333],[ 6.55248836e-02  9.97786224e-01 -1.13592343e-02  3.59367870e-04],0.0,[-1.98112609  0.87017929 -1.48724723 -0.96059929 -1.57787428 -0.28067166],[-1.69381921 -0.92776123  0.12000972  9.99990815  6.81924255 10.        ],0.0,4,-0.022824770884123602,0.2824770884123601,0.01
11,0,1,False,False,False,False,12,0.0,0.0,0.0,0.0,0.0,0.04999999991999999,1.390625,6.046875,0.0,[0.17492858 0.54320896 0.34358603],[ 0.20296812 -1.33143425  0.41275978],[ 0.06818473  0.9973259  -0.02577302 -0.00526094],0.0,[-1.98568116  0.86641078 -1.49422327 -0.91893263 -1.57718111 -0.27974537],[-1.09321708 -0.90444441 -1.6742505  10.          0.16636182  0.22230796],0.0,5,-0.027818848212752562,0.28188482127525616,0.01
12,0,1,False,False,False,False,13,0.0,0.0,0.0,0.0,0.0,0.05416666657999999,1.5,6.15625,0.0,[0.1834946  0.54736316 0.35196096],[2.05584526 0.99700928 2.00998307],[ 0.04795489  0.99854285 -0.01092808  0.02220484],0.0,[-1.98676079  0.85958519 -1.49383404 -0.96014786 -1.61884773 -0.32141204],"[ -0.25911007  -1.63814175   0.0934173   -9.8916568   -9.99998906
 -10.        ]",0.0,6,-0.03282183537459571,0.2821835374595708,0.01
13,0,1,False,False,False,False,14,0.0,0.0,0.0,0.0,0.0,0.058333333239999986,1.609375,6.265625,0.0,[0.1923129  0.54819864 0.35488024],[2.11639166 0.20051479 0.70062876],[ 0.07057011  0.99646181 -0.01215061  0.04400109],0.0,[-1.99012755  0.85283339 -1.48588735 -0.97312689 -1.6605144  -0.27974537],[-0.80802217 -1.62043035  1.90720464 -3.11496687 -9.99999999 10.        ],0.0,6,-0.03290356514746512,0.29035651474651175,0.01
14,0,1,False,False,False,False,15,0.0,0.0,0.0,0.0,0.0,0.062499999899999985,1.71875,6.375,0.0,[0.20378046 0.55022842 0.36325085],[2.75221467 0.48714638 2.00894595],[7.10528493e-02 9.94934618e-01 9.61774960e-04 7.11034834e-02],0.0,[-1.99625089  0.84743513 -1.48657255 -1.01131672 -1.70218106 -0.28773246],"[ -1.46960318  -1.29558333  -0.16444726  -9.16555883 -10.
  -1.91689938]",0.0,5,-0.027990452290619704,0.2990452290619704,0.01
15,0,1,False,False,False,False,16,0.0,0.0,0.0,0.0,0.0,0.06666666655999999,1.828125,6.484375,0.0,[0.20180616 0.55271673 0.36546811],[-0.47383189  0.59719563  0.53214312],[0.05977622 0.9969725  0.00223756 0.04967533],0.0,[-1.99992423  0.83725015 -1.48003857 -0.9962616  -1.66051443 -0.31266985],[-0.8816021  -2.44439495  1.56815407  3.61323029  9.99999264 -5.98497377],0.0,4,-0.02310351574552194,0.31035157455219414,0.01
16,0,1,False,False,False,False,17,0.0,0.0,0.0,0.0,0.0,0.07083333321999999,1.953125,6.609375,0.0,[0.20457447 0.55695146 0.37164861],[0.6643939  1.01633549 1.48331881],[0.04424366 0.99754018 0.00777087 0.053812  ],0.0,[-2.00046371  0.82492125 -1.47156875 -1.00725284 -1.66336835 -0.34508278],[-0.12947296 -2.95893515  2.03275738 -2.63789892 -0.68494101 -7.77910468],0.0,5,-0.028085505863543365,0.30855058635433624,0.01
17,0,1,False,False,False,False,18,0.0,0.0,0.0,0.0,0.0,0.07499999987999999,2.0625,6.71875,0.0,[0.21164531 0.55381769 0.37868407],[ 1.69700146 -0.75210571  1.68851137],[0.02922843 0.99685377 0.00274945 0.0736253 ],0.0,[-2.00423804  0.81953864 -1.4790731  -1.00272637 -1.70277088 -0.38047404],[-0.9058405  -1.29182633 -1.80104442  1.08635213 -9.45660654 -8.49390209],0.0,5,-0.028116838347801442,0.31168383478014416,0.01
18,0,1,False,False,False,False,19,0.0,0.0,0.0,0.0,0.0,0.07916666653999999,2.1875,6.84375,0.0,[0.21013609 0.55069047 0.38620293],[-0.36221266 -0.75053215  1.80452586],[0.04723005 0.9964518  0.01259229 0.06851751],0.0,[-2.00714502  0.82031494 -1.50123786 -0.99364599 -1.68667951 -0.34751373],[-0.69767458  0.1863119  -5.31954329  2.17929286  3.86192671  7.91047573],0.0,4,-0.023185747905560578,0.3185747905560576,0.01
19,0,1,False,False,False,False,20,0.0,0.0,0.0,0.0,0.0,0.08333333319999998,2.3125,6.96875,0.0,[0.21028882 0.54768366 0.39060274],[ 0.03665686 -0.72163582  1.0559535 ],[0.02678188 0.99682927 0.01051448 0.07418606],0.0,[-2.0072228   0.82034806 -1.51388568 -0.98419045 -1.69721411 -0.38918039],"[-1.86675537e-02  7.94773531e-03 -3.03547626e+00  2.26932958e+00
 -2.52830259e+00 -9.99999944e+00]",0.0,4,-0.023171377235890436,0.31713772358904346,0.01
20,0,1,False,False,False,False,21,0.0,0.0,0.0,0.0,0.0,0.08749999985999998,2.453125,7.109375,0.0,[0.21289074 0.5431757  0.39943489],[ 0.62446118 -1.08191014  2.1197176 ],[0.04890353 0.99362177 0.02000036 0.09962033],0.0,[-2.00564617  0.82657258 -1.54004358 -0.9987855  -1.73888078 -0.34751372],"[  0.37839111   1.49388547  -6.27789634  -3.5028121  -10.
  10.        ]",0.0,4,-0.02317344923154485,0.3173449231544849,0.01
21,0,1,False,False,False,False,22,0.0,0.0,0.0,0.0,0.0,0.09166666651999998,2.546875,7.203125,0.0,[0.20630546 0.54079896 0.4007059 ],[-1.58046842 -0.57041645  0.30504227],[0.06540131 0.99462342 0.02215162 0.07717658],0.0,[-2.00622102  0.82684066 -1.5529166  -0.97060073 -1.69721411 -0.31180284],[-0.13796291  0.06433807 -3.08952315  6.76434398  9.99999926  8.57061096],0.0,4,-0.023203879880455653,0.3203879880455653,0.01
22,0,1,False,False,False,False,23,0.0,0.0,0.0,0.0,0.0,0.09583333317999998,2.640625,7.296875,0.0,[0.20964085 0.53079343 0.4051989 ],[ 0.80049276 -2.40132809  1.07831955],[0.04714604 0.99437749 0.01152887 0.09411577],0.0,[-2.00982832  0.83383395 -1.58040927 -0.94653498 -1.73461075 -0.35346951],"[ -0.86575214   1.67839002  -6.59824245   5.77578056  -8.97519362
 -10.        ]",0.0,5,-0.02813851531594134,0.3138515315941338,0.01
23,0,1,False,False,False,False,24,0.0,0.0,0.0,0.0,0.0,0.09999999983999998,2.734375,7.390625,0.0,[0.21371368 0.52628988 0.40902176],[ 0.97747922 -1.08085156  0.91748715],[0.0546091  0.99295563 0.01971138 0.10328786],0.0010006427764892578,[-2.01608843  0.84163236 -1.59953982 -0.95754481 -1.74535044 -0.34707382],[-1.50242736  1.87161775 -4.59133139 -2.64236063 -2.57752417  1.53496589],0.0,6,-0.0331735781082534,0.31735781082534026,0.01
24,0,1,False,False,False,False,25,0.0,0.0,0.0,0.0,0.0,0.10416666649999998,2.828125,7.484375,0.0,[0.22058077 0.52255207 0.41973799],[ 1.648103   -0.89707375  2.57189513],[0.04558044 0.98923814 0.03658549 0.13413388],0.0,[-2.01978649  0.84944721 -1.62508851 -0.99921148 -1.78701709 -0.37748234],"[ -0.88753498   1.8755654   -6.13168547 -10.          -9.99999776
  -7.29804478]",0.0,5,-0.02821830017867837,0.3218300178678366,0.01
25,0,1,False,False,False,False,26,0.0,0.0,0.0,0.0,0.0,0.10833333315999998,2.9375,7.59375,0.0,[0.21903394 0.5199551  0.42251331],[-0.37123919 -0.62327385  0.66607475],[0.0353895  0.98980069 0.03652155 0.13307291],0.0,[-2.02010266  0.85053402 -1.63674975 -0.98986304 -1.78328718 -0.39820732],[-0.07588082  0.26083382 -2.79869871  2.24362567  0.89517823 -4.97399628],0.0,4,-0.023301461567530584,0.3301461567530583,0.01
26,0,1,False,False,False,False,27,0.0,0.0,0.0,0.0,0.0,0.11249999981999997,3.046875,7.703125,0.0,[0.21378519 0.52554572 0.42510435],[-1.25970125  1.34174824  0.62185049],[0.05358551 0.990237   0.05498365 0.11634497],0.0,[-2.01736897  0.84585943 -1.63376149 -1.00411365 -1.74162082 -0.35654066],[ 0.6560871  -1.12190202  0.71718231 -3.42014644  9.99992812 10.        ],0.0,5,-0.028291001280592826,0.32910012805928235,0.01
27,0,1,False,False,False,False,28,0.0,0.0,0.0,0.0,0.0,0.11666666647999997,3.140625,7.796875,0.0,[0.21056715 0.53164399 0.43441924],[-0.77232957  1.4635849   2.23557473],[0.03148206 0.98909181 0.0786368  0.12050991],0.0,[-2.01201286  0.84117283 -1.63735151 -1.04578032 -1.72675266 -0.39820732],"[  1.28546626  -1.12478285  -0.86160259 -10.           3.56835743
 -10.        ]",0.0,4,-0.023242950458689484,0.32429504586894825,0.01
